Empresa,Segmento,Cidade,WhatsApp,Link WhatsApp,Endereço,Presença digital encontrada,Prioridade,Oportunidade para landing page,Fonte pública,Verificado em
Odonto Excellence Boehmerwald,Clínica odontológica,Joinville/SC,+55 47 98887-2692,https://wa.me/5547988872692,"Av. Paulo Schroeder, 1884 - Petrópolis",Facebook,Alta,Landing local para campanhas e agendamentos,https://www.facebook.com/p/Odonto-Excellence-Joinville-Boehmerwald-100095523067026/,2026-09-16
Móveis Planejados Joinville,Móveis planejados,Joinville/SC,+55 47 99638-4336,https://wa.me/5547996384336,"Rua Gerhard Barkemeyer, 45, sala 2 - Vila Nova",Site próprio,Média,"Melhorar portfólio, depoimentos e formulário de orçamento",https://moveisplanejadosjoinville.com.br/,2026-09-16
Line Mobile Móveis Sob Medida,Móveis planejados,Joinville/SC,+55 47 99181-3961,https://wa.me/5547991813961,Joinville/SC,Instagram,Alta,Portfólio visual e orçamento guiado em landing própria,https://www.instagram.com/linemobilemoveissobmedida/,2026-09-16
Madmob Marcenaria,Marcenaria,Joinville/SC,+55 47 99961-2200,https://wa.me/5547999612200,Joinville/SC,Site próprio,Média,Landing para projetos premium e captação por ambiente,https://madmobmarcearia.com.br/,2026-09-16
Marcenaria Palladium,Marcenaria,Joinville/SC,+55 47 98920-8383,https://wa.me/5547989208383,Joinville/SC,Facebook,Alta,Portfólio e solicitação de orçamento podem sair da rede social,https://www.facebook.com/palladium.marcenaria/,2026-09-16
Thiago Rodrigues Marcenaria,Marcenaria,Joinville/SC,+55 47 98415-8264,https://wa.me/5547984158264,Joinville/SC,Facebook,Alta,Landing de portfólio com ambientes e orçamento,https://www.facebook.com/marcenariarodriguesjlle/,2026-09-16
KS Móveis Planejados,Móveis planejados,Joinville/SC,+55 47 99628-5808,https://wa.me/5547996285808,Joinville/SC,Facebook,Alta,"Página própria para projetos, materiais e orçamento",https://www.facebook.com/ksmoveisjoinville/,2026-09-16
Automecânica Gonzaga,Oficina mecânica,Joinville/SC,+55 47 3432-5953,https://wa.me/554734325953,"Rua São Miguel, 49 - Boa Vista",Site próprio,Média,Landing de revisão e serviços com agendamento rápido,https://www.automecanicagonzaga.com.br/,2026-09-16
Allvess Mecânica Automotiva,Oficina mecânica,Joinville/SC,+55 47 92003-4508,https://wa.me/5547920034508,Floresta - Joinville/SC,Instagram,Alta,"Landing com serviços, garantias e agendamento",https://www.instagram.com/mecanica_allvess/,2026-09-16
Cidy Car Oficina,Oficina mecânica,Joinville/SC,+55 47 3467-8399,https://wa.me/554734678399,"Rua Riachuelo, 238 - Bom Retiro",Instagram,Alta,Página de serviços e orçamento pelo WhatsApp,https://www.instagram.com/cidycaroficina/,2026-09-16
Mile9 Mecânica & Preparações,Oficina mecânica,Joinville/SC,+55 47 99974-4240,https://wa.me/5547999744240,Joinville/SC,Instagram,Alta,Landing para serviços especializados e projetos,https://www.instagram.com/mile9preparados/,2026-09-16
PetShow Pet Shop,Pet shop,Joinville/SC,+55 47 98448-5633,https://wa.me/5547984485633,"Rua Copacabana, 269 - Floresta",Site próprio,Média,"Página focada em banho, tosa e agendamento",https://www.petshowjlle.com.br/,2026-09-16
Patas para o Ar Pet Shop,Pet shop,Joinville/SC,+55 47 99753-1122,https://wa.me/5547997531122,Joinville/SC,Facebook,Alta,"Landing para serviços, tabela orientativa e agendamento",https://www.facebook.com/patasparaoar/,2026-09-16
Pet Shop Dudy,Pet shop,Joinville/SC,+55 47 98812-7907,https://wa.me/5547988127907,"Rua das Cegonhas, 445 - Iririú",Facebook,Alta,Página própria com serviços e reservas,https://www.facebook.com/PetShopDudy/,2026-09-16
Agrotupy Pet Shop,Pet shop,Joinville/SC,+55 47 99146-6675,https://wa.me/5547991466675,Joinville/SC,Facebook,Alta,"Landing local para produtos, banho e tosa",https://www.facebook.com/agrotupy/,2026-09-16
Clínica Veterinária Aurora,Clínica veterinária,Joinville/SC,+55 47 99960-0247,https://wa.me/5547999600247,"Rua Coronel Francisco Gomes, 1277 - Anita Garibaldi",Instagram,Alta,"Landing de serviços, plantão e agendamento",https://www.instagram.com/p/DSaE-xLDbcP/,2026-09-16
CiaBichos Centro Veterinário,Clínica veterinária,Joinville/SC,+55 47 99142-7221,https://wa.me/5547991427221,"Rua Presidente Campos Salles, 458",Instagram,Alta,"Página com serviços, equipe e chamadas de emergência",https://www.instagram.com/ciabichoscentrovet/,2026-09-16
Espaço Fisio Pilates,Pilates e fisioterapia,Joinville/SC,+55 47 99699-0033,https://wa.me/5547996990033,Joinville/SC,Facebook,Alta,"Landing para aula experimental, serviços e depoimentos",https://www.facebook.com/espacofisiopilatesjoinville/,2026-09-16
Lótus Pilates Joinville,Pilates,Joinville/SC,+55 47 99289-7343,https://wa.me/5547992897343,Joinville/SC,Facebook,Alta,Página para aula experimental e captação de alunos,https://www.facebook.com/lotuspilatesjlle/,2026-09-16
Tiago Guedes Fotografia,Fotografia,Joinville/SC,+55 47 98830-2851,https://wa.me/5547988302851,"Rua Victor Müller, 215 - Costa e Silva",Site próprio,Média,Landing por tipo de ensaio e campanha,https://www.tiagoguedes.com.br/,2026-09-16
Rudi Oliveira Fotografia,Fotografia,Joinville/SC,+55 47 99999-5792,https://wa.me/5547999995792,Joinville/SC,Facebook,Alta,Portfólio próprio e formulário de orçamento,https://www.facebook.com/fotograforudi/,2026-09-16
Katy Eventos,Buffet e eventos,Joinville/SC,+55 47 98902-3305,https://wa.me/5547989023305,"Rua Camboriú, 310 - Glória",Facebook,Alta,"Landing para pacotes, cardápios e orçamento",https://www.facebook.com/katyeventosjoinville/,2026-09-16
Rancho Verde Eventos,Espaço para eventos,Joinville/SC,+55 47 99956-1514,https://wa.me/5547999561514,Joinville/SC,Facebook,Alta,"Página com ambientes, capacidade e agenda",https://www.facebook.com/ranchoverdeeventos/,2026-09-16
BKR Eventos,Espaço para eventos,Joinville/SC,+55 47 99281-0672,https://wa.me/5547992810672,"Rua Augusto Schmidt, 195 - Floresta",Facebook,Alta,"Landing com estrutura, fotos, pacotes e visita",https://www.facebook.com/bkreventoss/,2026-09-16
Start Festas e Eventos,Espaço para festas,Joinville/SC,+55 47 99986-6931,https://wa.me/5547999866931,Joinville/SC,Facebook,Alta,Página de pacotes e reservas,https://www.facebook.com/start.joinville/,2026-09-16
Toffano's Eventos,Eventos,Joinville/SC,+55 47 99182-5335,https://wa.me/5547991825335,Joinville/SC,Facebook,Alta,"Landing para eventos, cardápios e reservas",https://www.facebook.com/toffanos.eventos/,2026-09-16
Smarter Idiomas,Escola de idiomas,Joinville/SC,+55 47 99650-8169,https://wa.me/5547996508169,"Rua Ministro Calógeras, 253, sala 1 - Bucarein",Facebook,Alta,Landing para teste de nível e matrícula,https://www.facebook.com/,2026-09-16
Tulipa Flores,Floricultura,Joinville/SC,+55 47 98911-9906,https://wa.me/5547989119906,"Rua Boehmerwald, 996",Facebook,Alta,Página de catálogo sazonal e pedidos,https://www.facebook.com/TulipaFlores/,2026-09-16
Floricultura Iririú,Floricultura,Joinville/SC,+55 47 99200-8874,https://wa.me/5547992008874,"Rua Iririú, 1607",Site próprio,Média,Modernizar catálogo e fluxo de pedidos,https://www.floriculturaiririu.com.br/,2026-09-16
Solturi Energia Solar,Energia solar,Joinville/SC,+55 47 98806-6946,https://wa.me/5547988066946,Joinville/SC,Instagram,Alta,Landing com simulador de economia e envio de fatura,https://www.instagram.com/reel/DNBIagYMxzP/,2026-09-16
Castro Energy,Energia solar,Joinville/SC,+55 47 99943-6681,https://wa.me/5547999436681,Joinville/SC,Facebook,Alta,Página de captação com simulação e cases,https://www.facebook.com/people/Castro-Energy/61579362247863/,2026-09-16
Perfecta Energia Solar,Energia solar,Joinville/SC,+55 47 99773-7595,https://wa.me/5547997737595,Joinville/SC,Instagram,Alta,Landing com projetos e cálculo de economia,https://www.instagram.com/p/DXb6zYxEq2I/,2026-09-16
Vidros Temperados Tayó,Vidraçaria,Joinville/SC,+55 47 99616-6041,https://wa.me/5547996166041,Joinville/SC,Instagram,Alta,Portfólio de boxes e orçamento por medida,https://www.instagram.com/reel/DH1r_atuCm2/,2026-09-16
